Probe	Chromosome	Start	End	Strand
Lrrtm3	10	63391220	63553025	-
1110002J07Rik	10	66375237	66383006	-
Gm17351	10	66383650	66386347	+
Reep3	10	66474256	66559605	-
Jmjd1c	10	66558873	66719074	+
Nrbf2	10	66729437	66748053	-
Egr2	10	66998223	67004936	+
Ado	10	67007260	67011703	-
Gm10797	10	67034790	67037011	+
Zfp365	10	67348851	67375410	-
Rtkn2	10	67442318	67522488	+
Gm16212	10	67488198	67489374	-
Arid5b	10	67558341	67741474	-
1700040L02Rik	10	67893701	68004644	-
Tmem26	10	68186494	68245402	+
Rhobtb1	10	68614182	68754539	+
A930033H14Rik	10	68672510	68675846	-
Cdk1	10	68799383	68815686	-
Ank3	10	68996970	69490184	+
Ccdc6	10	69559869	69655948	+
2310015B20Rik	10	69667432	69682458	+
Slc16a9	10	69707848	69748716	+
Gm7097	10	69746983	69747701	-
Fam13c	10	69903416	70021479	+
Phyhipl	10	70020430	70118713	-
4930533K18Rik	10	70331417	70397072	+
Bicc1	10	70385580	70622448	-
Gm15647	10	70545624	70546399	+
Tfam	10	70688212	70701028	-
Ube2d1	10	70717728	70748010	-
Cisd1	10	70793228	70807702	-
Ipmk	10	70810511	70896075	+
Zwint	10	72117593	72137712	+
Pcdh15	10	72562090	74112482	+
Gm15398	10	72664147	72789775	-
Gm15397	10	72952722	72981138	+
Rtdr1	10	74420222	74495331	-
Gnaz	10	74429922	74479652	+
Rab36	10	74499803	74517493	+
Bcr	10	74523641	74647668	+
Specc1l	10	74674818	74775144	+
Adora2a	10	74779688	74797533	+
1110038D17Rik	10	74813856	74980717	-
Upb1	10	74869656	74904424	+
Snrpd3	10	74980787	74998185	+
AI646023	10	75012870	75023075	-
Ggt1	10	75024349	75048945	+
Gm17269	10	75033277	75052401	+
Ggt5	10	75052126	75079713	+
Susd2	10	75099364	75106753	-
Cabin1	10	75108855	75227102	-
Ddt	10	75233975	75236159	-
RP23-333M15.8	10	75234196	75243699	-
Gstt3	10	75236860	75244159	-
Gstt1	10	75246558	75261329	-
Gstt4	10	75277688	75285288	-
Gstt2	10	75294590	75297626	-
Mif	10	75322098	75322995	-
Derl3	10	75356143	75358686	+
Smarcb1	10	75359514	75384362	-
Mmp11	10	75385967	75400678	-
Chchd10	10	75398318	75400470	+
Gm867	10	75400466	75403417	-
Vpreb3	10	75405802	75412402	+
Gm5134	10	75417259	75472336	+
Gm16220	10	75455436	75456737	-
Zfp280b	10	75495357	75505979	+
Slc5a4b	10	75520239	75573706	-
Gm16222	10	75541362	75543247	+
Slc5a4a	10	75610196	75652010	+
Prmt2	10	75669967	75700610	-
S100b	10	75716598	75723904	+
Dip2a	10	75722174	75808036	-
Gm16240	10	75755910	75757605	+
Pcnt	10	75813999	75905657	-
2610028H24Rik	10	75911826	75923855	+
Ybey	10	75922314	75931859	-
Mcm3ap	10	75931672	75978601	+
Lss	10	75994333	76019883	+
4930483K19Rik	10	76008616	76024971	-
1700027D21Rik	10	76025017	76032946	+
Gm15343	10	76027510	76033277	-
Ftcd	10	76038393	76053083	+
Col6a2	10	76058507	76086375	-
Col6a1	10	76171537	76188913	-
Pcbp3	10	76224602	76424632	-
Gm10787	10	76474740	76484959	+
Slc19a1	10	76494986	76523747	+
Col18a1	10	76514923	76629293	-
Gm10941	10	76720521	76721968	-
Pofut2	10	76722045	76732331	+
Adarb1	10	76753471	76881015	-
1810008A18Rik	10	76949401	76978558	-
2810425M01Rik	10	76949409	76979175	+
Itgb2	10	76992997	77028453	+
Pttg1ip	10	77044465	77061477	+
Sumo3	10	77068842	77104288	+
Ube2g2	10	77085020	77108738	+
Gm10272	10	77169389	77169703	+
Gm10024	10	77174202	77174561	+
Gm10142	10	77178570	77178914	+
Krtap12-1	10	77183331	77184001	+
Gm10100	10	77189249	77189593	+
Gm3233	10	77221735	77222427	-
Gm3238	10	77233378	77234070	-
Gm7138	10	77238997	77239689	-
Gm3250	10	77244595	77245287	-
Gm7137	10	77250235	77274588	-
C330046G03Rik	10	77292212	77349766	+
Gm10318	10	77315607	77316284	+
Lrrc3	10	77360320	77365281	-
Trpm2	10	77370467	77433308	-
1810043G02Rik	10	77441269	77449650	+
Pfkl	10	77449692	77472828	-
Aire	10	77492767	77506355	-
Dnmt3l	10	77504692	77526367	+
Icosl	10	77532105	77546000	+
D10Jhu81e	10	77624812	77632513	-
Pwp2	10	77633655	77647894	-
Trappc10	10	77649470	77707387	-
Agpat3	10	77731923	77815234	-
Gm10146	10	77856059	77856497	+
Rrp1	10	77863107	77875788	-
Cstb	10	77888415	77890364	+
Pdxk	10	77899489	77927720	-
Gm9978	10	77947315	77950587	-
Olfr1358	10	77982352	77983293	+
Ilvbl	10	78037245	78047243	+
Syde1	10	78047248	78054709	-
Olfr1357	10	78074414	78080819	-
Casp14	10	78174742	78181038	-
Ccdc105	10	78209669	78215812	-
Slc1a6	10	78243241	78277570	+
Olfr1356	10	78309696	78310658	-
Olfr1355	10	78338294	78342851	+
Olfr1354	10	78379587	78380519	+
Olfr8	10	78417952	78418884	+
Olfr1353	10	78426054	78433357	+
Olfr1352	10	78443795	78447466	+
Olfr1351	10	78480069	78481028	+
Olfr57	10	78497468	78498547	+
2610008E11Rik	10	78527119	78560345	-
Vmn2r80	10	78611542	78657757	+
Vmn2r81	10	78710522	78757280	+
Vmn2r82	10	78819321	78859943	+
Vmn2r83	10	78931688	78954899	+
Ppap2c	10	78989175	78996532	-
Mier2	10	79002990	79017944	-
Theg	10	79039124	79050076	-
C2cd4c	10	79069602	79076763	-
Shc2	10	79080685	79100663	-
Odf3l2	10	79102271	79108483	-
Madcam1	10	79127319	79131281	+
Gm16517	10	79132155	79138871	+
Cdc34	10	79144940	79151139	+
Gzmm	10	79151765	79158006	+
Bsg	10	79167103	79174724	+
Hcn2	10	79179379	79198853	+
Polrmt	10	79198868	79209326	-
Fgf22	10	79217821	79219760	+
Rnf126	10	79221260	79229666	-
Fstl3	10	79240017	79245375	+
Prss57	10	79244219	79253706	-
Palm	10	79256317	79283641	+
9130017N09Rik	10	79283766	79293197	+
E130317F20Rik	10	79314126	79317701	-
Ptbp1	10	79317172	79327516	+
BC005764	10	79323220	79337379	-
Gm17134	10	79326682	79327179	-
Prtn3	10	79337221	79345919	+
Elane	10	79349057	79350961	+
Cfd	10	79353598	79355401	+
Med16	10	79357452	79371683	-
C030046I01Rik	10	79372798	79379751	-
Kiss1r	10	79379716	79385018	+
Arid3a	10	79389788	79417763	+
Wdr18	10	79422897	79431991	+
Grin3b	10	79433460	79439935	+
ORF61	10	79437693	79447075	-
Cnn2	10	79451329	79458807	+
Abca7	10	79459239	79478317	+
Hmha1	10	79479398	79494217	+
Polr2e	10	79498694	79502540	-
Gpx4	10	79509911	79519184	+
Sbno2	10	79520161	79565443	-
Stk11	10	79578548	79593427	+
Dos	10	79593196	79603580	-
Atp5d	10	79601377	79608563	+
Midn	10	79611017	79621113	+
Cirbp	10	79628730	79635531	+
1600002K03Rik	10	79635689	79637891	+
Efna2	10	79642227	79652755	+
Mum1	10	79689179	79706648	+
Ndufs7	10	79711866	79719539	+
Gamt	10	79720896	79723757	-
Dazap1	10	79724231	79751153	+
Gm15122	10	79745189	79745751	-
Rps15	10	79755176	79756859	+
Apc2	10	79758722	79781008	+
2310011J03Rik	10	79780999	79783282	-
Pcsk4	10	79784028	79792243	-
Reep6	10	79792698	79799186	+
Adamtsl5	10	79801855	79811157	-
Plk5	10	79819204	79828234	+
Gm15123	10	79834643	79835177	+
Gm15124	10	79834700	79835961	+
Mex3d	10	79843100	79850404	-
Mbd3	10	79855284	79862295	-
Uqcr11	10	79865742	79869575	-
Tcf3	10	79872259	79896392	-
Onecut3	10	79957651	79980003	+
Atp8b3	10	79982330	80001869	-
Rexo1	10	80003671	80024305	-
Klf16	10	80029874	80040041	-
Gm17682	10	80041392	80043422	+
Fam108a	10	80046394	80053086	-
Adat3	10	80065625	80070399	+
Scamp4	10	80065627	80078528	+
Csnk1g2	10	80085525	80103516	+
Btbd2	10	80105362	80119816	-
Mknk2	10	80128077	80139038	-
Gm17306	10	80144583	80149921	+
Mob3a	10	80148001	80164565	-
Izumo4	10	80165438	80168127	+
Ap3d1	10	80169723	80204956	-
Dot1l	10	80217951	80258206	+
Gm17151	10	80229604	80231732	-
Plekhj1	10	80258845	80261371	-
Sf3a2	10	80260943	80267669	+
Amh	10	80267993	80270393	+
Jsrp1	10	80271246	80276240	-
Oaz1	10	80289401	80292035	+
Lingo3	10	80295552	80306784	-
Lsm7	10	80315570	80317954	-
3110056O03Rik	10	80318020	80331450	+
Tmprss9	10	80342465	80362186	+
Timm13	10	80362195	80363714	-
Lmnb2	10	80363948	80380990	-
Gadd45b	10	80392836	80394949	+
Gng7	10	80411369	80477690	-
Diras1	10	80482334	80488407	-
Gm16099	10	80487556	80489312	+
Slc39a3	10	80491283	80500171	-
Sgta	10	80506820	80522923	-
Thop1	10	80532780	80545304	+
Creb3l3	10	80547069	80561619	-
Map2k2	10	80568660	80587442	+
Zbtb7a	10	80597965	80615740	+
Pias4	10	80616011	80630668	-
Eef2	10	80639376	80645252	+
4930442H23Rik	10	80645350	80646594	-
Dapk3	10	80646663	80655729	+
2310050B05Rik	10	80657354	80673622	+
Itgb1bp3	10	80660915	80664782	-
Atcay	10	80667253	80693578	-
Zfr2	10	80695900	80714868	+
Matk	10	80715680	80726110	+
Mrpl54	10	80727458	80729679	-
Apba3	10	80730917	80735991	+
Tjp3	10	80735952	80754012	-
Pip5k1c	10	80755708	80782718	+
Gm16315	10	80764446	80765662	-
2510012J08Rik	10	80783848	80788996	+
Tbxa2r	10	80791477	80797916	+
Gipc3	10	80800507	80806011	-
Hmg20b	10	80808793	80813225	-
F630110N24Rik	10	80820236	80828970	+
4930404N11Rik	10	80825812	80828561	-
Fzr1	10	80828967	80841261	-
Dohh	10	80847173	80854305	+
2210404O07Rik	10	80855796	80858137	+
Nfic	10	80858931	80893750	-
Gm16104	10	80872320	80874324	+
Celf5	10	80921972	80945454	-
Gm16105	10	80923904	80925717	+
Ncln	10	80948994	80959137	-
S1pr4	10	80961223	80962452	-
Gna15	10	80965051	80986970	-
Gna11	10	80991469	81007935	-
Aes	10	81022239	81029107	+
Gm15917	10	81035357	81038685	-
Tle2	10	81037306	81053590	+
Tle6	10	81053649	81063818	-
BC025920	10	81069015	81083448	+
Gm17357	10	81069113	81072536	-
Sirt6	10	81084530	81090542	-
Ankrd24	10	81091285	81110355	+
Gm10778	10	81111816	81126976	+
Gm8112	10	81156463	81156930	-
Gm3055	10	81208728	81214554	-
Gm8264	10	81281218	81281685	-
Gm4767	10	81283872	81286105	+
Gm8137	10	81315557	81316024	-
Zfp781	10	81367818	81373644	-
Gm8158	10	81448680	81449147	-
Gm8290	10	81471136	81471603	+
Zfp873	10	81521162	81524074	+
AU041133	10	81600998	81614756	+
Gm15608	10	81640980	81661130	+
Zfp938	10	81687595	81704025	-
4932415D10Rik	10	81744861	81748023	-
Gm4924	10	81841338	81843982	+
1190007I07Rik	10	82082596	82085973	-
Tdg	10	82092573	82113544	+
Glt8d2	10	82113178	82153395	-
Hcfc2	10	82158905	82205173	+
Nfyb	10	82211446	82226889	-
1700028I16Rik	10	82274868	82286987	+
Txnrd1	10	82296696	82360469	+
Gm4799	10	82417089	82417745	+
Chst11	10	82448243	82658645	+
1700025N21Rik	10	82601895	82604783	-
Slc41a2	10	82693593	82800627	-
D10Wsu102e	10	82822966	82831580	+
Aldh1l2	10	82950195	82996885	-
A230046K03Rik	10	83006686	83059214	+
Appl2	10	83062778	83111483	-
1500009L16Rik	10	83185610	83225506	+
Nuak1	10	83833650	83903342	-
4930463O16Rik	10	83951038	83960180	+
Ckap4	10	83989050	83996781	-
C330046G13Rik	10	84010162	84016083	-
Tcp11l2	10	84039371	84077104	+
Gm17249	10	84082077	84085323	-
Polr3b	10	84085182	84189922	+
Rfx4	10	84218807	84369283	+
Gm6613	10	84256895	84257452	-
Ric8b	10	84380361	84479191	+
Fhl4	10	84559764	84565240	-
AI597468	10	84565372	84580492	+
Mterfd3	10	84582181	84590746	-
Cry1	10	84594447	84647799	-
Gm8394	10	84776220	84777184	+
Btbd11	10	84849559	85123037	+
Gm6713	10	85172072	85173517	-
Gm6721	10	85270560	85271990	+
Pwp1	10	85334576	85351841	+
Prdm4	10	85354715	85379887	-
Ascl4	10	85391236	85408951	+
D10Wsu52e	10	85401382	85420568	-
Bpifc	10	85422085	85474640	-
Fbxo7	10	85484717	85514618	+
Syn3	10	85517870	85961641	-
4930486F22Rik	10	85558630	85576325	+
Gm15990	10	85588572	85592599	+
Timp3	10	85763117	85812251	+
Gm6729	10	86002628	86004079	-
Gm5174	10	86118684	86120126	+
1810014B01Rik	10	86148346	86157551	+
Hsp90b1	10	86152954	86168254	-
Gm15344	10	86154864	86155840	-
BC030307	10	86168556	86239588	+
Nt5dc3	10	86241750	86301134	+
Gm16268	10	86301839	86337699	+
Stab2	10	86303943	86470770	-
Gm16280	10	86371506	86372758	+
Gm16271	10	86434961	86490760	+
1700113H08Rik	10	86520791	86693344	+
Gm10764	10	86752238	86754572	+
Ascl1	10	86953564	86956405	-
Pah	10	86984540	87046881	+
Gm16176	10	87289122	87326126	-
Igf1	10	87321010	87399792	+
Pmch	10	87553817	87555120	+
4930547N16Rik	10	87554177	87609686	-
Nup37	10	87609737	87641133	+
Ccdc53	10	87663842	87708897	+
Dram1	10	87785549	87841825	-
Gnptab	10	87841877	87910074	+
Gm17338	10	87841989	87846456	-
Gm16235	10	87906981	87912632	-
Chpt1	10	87915490	87966818	-
Sycp3	10	87922314	87935981	+
Mybpc1	10	87981024	88067897	-
Spic	10	88137517	88147760	-
Gm4925	10	88192286	88193846	-
Arl1	10	88193603	88206839	+
Utp20	10	88209352	88289559	-
Slc5a8	10	88348737	88392250	+
Ano4	10	88411740	88720535	-
Gm17277	10	88798305	88807507	-
Gas2l3	10	88871568	88906712	-
Nr1h4	10	88916979	88996330	-
Slc17a8	10	89036765	89083998	-
Scyl2	10	89101466	89149030	-
1500026H17Rik	10	89149116	89163611	+
Actr6	10	89174718	89195040	-
Uhrf1bp1l	10	89207736	89282614	+
Anks1b	10	89336417	90435730	+
Apaf1	10	90452056	90545515	-
Ikbip	10	90545685	90565352	+
Slc25a3	10	90579319	90586804	-
Tmpo	10	90610316	90634759	-
Gm17499	10	90612260	90613339	+
Gm16484	10	90690931	90691257	+
Rmst	10	91544491	91627923	-
Gm17341	10	91624848	91627435	+
Nedd1	10	92147491	92185165	-
4930485B16Rik	10	92238364	92544363	-
Cdk17	10	92623621	92729816	+
Elk3	10	92710159	92773880	-
Lta4h	10	92916141	92947641	+
Hal	10	92951513	92982049	+
Amdhd1	10	92986083	93002778	-
Ccdc38	10	93003377	93047072	+
Snrpf	10	93045774	93052451	-
4933408J17Rik	10	93052158	93067990	+
Ntn4	10	93103426	93209952	+
Gm15915	10	93136963	93146067	-
Gm15963	10	93189471	93190952	+
Usp44	10	93294300	93311269	+
Metap2	10	93321234	93353947	-
Vezt	10	93401910	93498562	-
Fgd6	10	93498746	93608084	+
Nr2c1	10	93610768	93659956	+
Ndufa12	10	93661700	93684188	+
Gm4792	10	93756410	93761448	-
Tmcc3	10	93774694	94053701	+
Gm16155	10	93871636	93873477	+
Gm16154	10	94030573	94074829	-
4932415G12Rik	10	94136238	94151358	-
Ccdc41	10	94151535	94253081	+
Plxnc1	10	94253617	94407212	-
Cradd	10	94637380	94786767	-
Socs2	10	94847996	94879814	-
5730420D15Rik	10	94880009	94891274	+
Mrpl42	10	94943440	94964561	-
Ube2n	10	94977779	95008292	+
Nudt4	10	95009641	95026801	-
Gm6843	10	95135625	95136085	-
4732465J04Rik	10	95255205	95257614	+
Eea1	10	95403297	95508152	+
Btg1	10	96079635	96085447	+
Dcn	10	96942245	96980777	+
Lum	10	97028135	97035337	+
Kera	10	97069817	97076322	+
Epyc	10	97106702	97145088	+
Gm10754	10	97144736	97145050	-
4921510H08Rik	10	97155693	97157560	+
C030005K15Rik	10	97187508	97189389	-
Atp2b1	10	98377786	98488777	+
Poc1b	10	98569670	98660708	+
Galnt4	10	98570793	98575881	+
Phxr2	10	98588151	98588955	-
Gm16239	10	98641818	98647244	-
Dusp6	10	98725865	98730122	+
B530045E10Rik	10	98883156	98885681	+
Gad1-ps	10	98906364	98909641	+
Csl	10	99220339	99222292	-
Kitl	10	99478264	99563047	+
Gm8701	10	99788062	99794069	+
Gm4301	10	99798310	99799225	+
Gm4302	10	99803490	99804374	+
Gm4303	10	99808624	99809493	+
Gm4305	10	99813745	99814614	+
Gm4307	10	99823990	99824859	+
Gm4308	10	99829133	99830048	+
Gm4312	10	99844279	99845194	-
Gm4781	10	99858921	99859706	-
Tmtc3	10	99906536	99949984	-
Cep290	10	99950923	100036289	+
4930430F08Rik	10	100034908	100051893	-
1700017N19Rik	10	100055020	100081025	+
Mgat4c	10	101144121	101854103	+
Nts	10	101944394	101953052	-
Rassf9	10	101974856	102009194	+
Alx1	10	102470481	102491685	-
Gm17028	10	102492113	102492978	-
Lrriq1	10	102525832	102698956	-
Slc6a15	10	102830477	102882011	+
Gm6763	10	103606899	103616256	+
Gm8766	10	103623951	103624736	+
Gm4340	10	103632460	103633257	+
Tmtc2	10	104624719	105011507	-
Gm15663	10	105011009	105020930	+
BC067068	10	105200241	105278436	-
Ccdc59	10	105278123	105284889	+
Gm7263	10	105629434	105629826	-
Ppfia2	10	105902321	106370502	+
C230021G24Rik	10	105903995	105907824	-
Acss3	10	106373220	106560724	-
Lin7a	10	106708899	106862199	+
Myf5	10	106919964	106923190	-
Myf6	10	106929916	106931785	-
Ptprq	10	106954416	107157083	-
Otogl	10	107199369	107349190	-
Ppp1r12a	10	107599249	107714631	+
Pawr	10	107769245	107851447	+
Syt1	10	107934706	108448038	-
Nav3	10	109119716	109437275	-
E2f7	10	110182495	110224440	+
Csrp2	10	110357232	110376678	+
Zdhhc17	10	110378838	110447122	-
Gm5428	10	110562907	110563794	+
Osbpl8	10	110601858	110734303	+
Bbs10	10	110735735	110738792	+
Nap1l1	10	110910248	110935198	+
Gm5176	10	110937795	110939019	+
Phlda1	10	110943342	110945705	+
4933440J02Rik	10	111023775	111031329	-
Krr1	10	111409720	111425488	+
Glipr1	10	111422504	111439687	-
Glipr1l1	10	111497245	111515566	+
Glipr1l2	10	111520410	111545154	+
Caps2	10	111600677	111653611	+
Kcnc2	10	111708179	111903360	+
Atxn7l3b	10	112362494	112366082	-
Trhde	10	113835879	114239363	-
4930473D10Rik	10	114194803	114222160	+
Gm15723	10	114238782	114253887	+
Tph2	10	114515697	114622078	-
Tbc1d15	10	114634933	114688549	-
Rab21	10	114726919	114752647	-
Tmem19	10	114777795	114799318	-
Thap2	10	114807022	114821491	-
Zfc3h1	10	114822015	114869828	+
Lgr5	10	114887367	115024836	-
RP23-43M12.1	10	115007042	115019504	+
Tspan8	10	115254340	115286949	+
Ptprr	10	115455269	115711988	+
4933416C03Rik	10	115548720	115550973	-
Ptprb	10	115712579	115826594	+
Kcnmb4	10	115854917	115910934	-
1700058G18Rik	10	115855108	115858293	+
4933400F03Rik	10	115910219	115912375	+
Cnot2	10	115922217	116018567	-
Gm16913	10	116111647	116116359	+
Gm239	10	116213601	116333935	-
Rab3ip	10	116342837	116387436	-
D630029K05Rik	10	116403422	116406161	+
Gm10271	10	116407374	116409665	-
Best3	10	116423370	116462096	+
Lrrc10	10	116482397	116483824	+
Cct2	10	116488054	116500870	-
Frs2	10	116507185	116585530	-
Yeats4	10	116652198	116661563	-
9530003J23Rik	10	116669293	116675759	-
Gm10936	10	116683788	116685202	+
Lyz2	10	116714390	116719377	-
Lyz1	10	116724852	116729924	-
Cpsf6	10	116781724	116814029	-
Cpm	10	117066556	117124408	+
Mdm2	10	117125944	117147814	-
Slc35e3	10	117170735	117183414	-
Nup107	10	117187680	117229761	-
Rap1b	10	117251527	117282991	-
Mdm1	10	117578843	117606053	+
Il22	10	117641998	117647098	+
Iltifb	10	117726685	117732094	-
Gm9049	10	117788441	117791262	-
Ifng	10	117878103	117882948	+
Dyrk2	10	118296405	118305959	-
4932442E05Rik	10	118297882	118300598	+
Cand1	10	118636311	118677111	-
Gm16320	10	118866423	118892435	-
Gm16321	10	118879735	118880680	-
Grip1	10	118891090	119524317	+
4930564G21Rik	10	119183119	119198755	-
4930483C13Rik	10	119262260	119289446	-
Helb	10	119520664	119550043	-
Irak3	10	119578704	119639186	-
Tmbim4	10	119638646	119661973	+
Llph	10	119664126	119669127	+
Hmga2	10	119798331	119913525	-
1700006J14Rik	10	119801213	119821392	+
9230105E05Rik	10	119826579	119829849	+
4921513I03Rik	10	120202830	120215942	+
Msrb3	10	120218152	120336157	-
Gm15961	10	120237733	120238850	-
Gm15910	10	120294685	120300382	+
Gm4473	10	120336213	120338944	+
Lemd3	10	120360469	120416388	-
Wif1	10	120471016	120537706	+
Tbc1d30	10	120700880	120748245	-
Gns	10	120802146	120834301	+
Rassf3	10	120847406	120913306	-
Tbk1	10	120983511	121023850	-
Xpot	10	121024436	121063372	-
D930020B18Rik	10	121078644	121130940	+
BC048403	10	121176993	121189934	+
Srgap1	10	121218047	121484371	-
Tmem5	10	121515170	121534427	-
Avpr1a	10	121885555	121890509	+
Ppm1h	10	122115818	122382851	+
Mon2	10	122429117	122513561	-
Usp15	10	122550286	122634017	-
Fam19a2	10	122701132	123178032	+
Slc16a7	10	124663520	124766019	-
Lrig3	10	125403275	125452415	+
Xrcc6bp1	10	126305486	126338427	-
Ctdsp2	10	126415773	126437031	+
Avil	10	126437765	126458050	+
Tsfm	10	126448628	126467896	-
Fam119b	10	126468238	126478569	-
Mettl1	10	126478470	126483421	+
Cyp27b1	10	126485306	126490062	+
Mar-09	10	126492067	126497240	-
Cdk4	10	126500590	126504976	+
Tspan31	10	126504373	126507317	-
Agap2	10	126515963	126530225	+
Os9	10	126531315	126558216	-
B4galnt1	10	126602247	126609385	+
Slc26a10	10	126608449	126617701	-
Arhgef25	10	126619577	126627110	-
Dtx3	10	126627434	126632784	-
F420014N23Rik	10	126632305	126639699	+
Pip4k2c	10	126634123	126648678	-
Kif5a	10	126662755	126700136	-
Dctn2	10	126703442	126718862	+
Mbd6	10	126719012	126726074	-
RP24-341K21.5	10	126725570	126726737	+
RP24-341K21.6	10	126726752	126727844	-
Ddit3	10	126727830	126733344	+
Mars	10	126733277	126748842	-
Arhgap9	10	126759172	126766999	+
Gli1	10	126766945	126778645	-
Inhbe	10	126786458	126788828	-
Inhbc	10	126793384	126807600	-
R3hdm2	10	126817383	126936440	+
Stac3	10	126938742	126945879	+
Ndufa4l2	10	126951995	126954208	+
Shmt2	10	126954195	126959491	-
Nxph4	10	126962529	126971615	-
Lrp1	10	126975217	127058204	-
Gm16217	10	127033604	127034926	+
Stat6	10	127080042	127098013	+
Nab2	10	127097974	127105624	-
Gm16229	10	127100895	127102540	+
Tmem194	10	127103957	127138105	+
Gm16230	10	127108660	127113780	-
Myo1a	10	127142226	127157943	+
Tac2	10	127162448	127168823	+
Zbtb39	10	127176594	127184391	+
Gpr182	10	127184332	127188788	-
Rdh1	10	127196777	127205353	+
Rdh9	10	127196843	127229753	+
Rdh16	10	127238208	127283621	+
Rdh18-ps	10	127261340	127280994	+
Rdh19	10	127286984	127298232	+
BC089597	10	127303530	127314373	+
Rdh7	10	127321084	127326095	-
Sdr9c7	10	127335574	127348817	+
Hsd17b6	10	127427997	127437734	-
Gm10120	10	127448832	127449188	+
Prim1	10	127452228	127467093	+
Naca	10	127472402	127485693	+
Ptges3	10	127496010	127514328	+
Baz2a	10	127496046	127566359	+
Atp5b	10	127520329	127527447	+
Rbms2	10	127566526	127617353	-
Gls2	10	127631513	127647060	+
Spryd4	10	127646964	127648850	-
Mip	10	127662894	127668868	+
Gm17292	10	127667646	127669846	-
Timeless	10	127669119	127689997	+
Apon	10	127691187	127692957	+
Apof	10	127705053	127707207	+
Stat2	10	127707629	127729905	+
Il23a	10	127733196	127735140	-
Pan2	10	127740391	127758403	+
Cnpy2	10	127759515	127764243	+
Cs	10	127774888	127799535	+
Coq10a	10	127800153	127807088	-
Ankrd52	10	127814171	127845760	+
Gm17201	10	127828898	127832619	-
Slc39a5	10	127832990	127838280	-
Obfc2b	10	127838451	127848548	-
Rnf41	10	127848672	127878494	+
Smarcc2	10	127896292	127927229	+
Myl6	10	127927916	127930931	-
Myl6b	10	127931213	127935741	-
A430046D13Rik	10	127936420	127941298	+
Esyt1	10	127947304	127962926	-
Zc3h10	10	127979019	127984830	-
Pa2g4	10	127994822	128002990	-
Erbb3	10	128004579	128026708	-
Gm9182	10	128052412	128053677	+
Rps26	10	128061586	128063562	-
Ikzf4	10	128067899	128083047	-
Gm17336	10	128082940	128086867	+
Suox	10	128106943	128110974	-
Rab5b	10	128114249	128133324	-
Cdk2	10	128134995	128142107	-
Pmel	10	128143314	128157294	+
Dgka	10	128157197	128181112	-
Wibg	10	128184935	128203617	+
Mmp19	10	128228009	128237880	+
1110012D08Rik	10	128237092	128241426	-
Dnajc14	10	128242690	128256502	+
Ormdl2	10	128254513	128258687	-
Sarnp	10	128258827	128314694	+
Gdf11	10	128319351	128328774	-
Cd63	10	128345975	128349872	+
Rdh5	10	128350649	128359944	-
Bloc1s1	10	128354938	128361091	-
Itga7	10	128370869	128395333	+
Mettl7b	10	128395333	128398044	-
Olfr9	10	128426905	128427956	+
Olfr763	10	128448278	128449321	+
Olfr764	10	128470925	128471854	-
Olfr765	10	128483188	128484117	-
Olfr767	10	128516028	128517113	-
Olfr768	10	128530090	128531028	-
Olfr769	10	128548484	128549567	-
Olfr770	10	128569887	128570822	-
Olfr771	10	128597085	128598038	-
Olfr772	10	128611107	128612110	-
Olfr773	10	128623507	128624510	-
Olfr1516-ps	10	128675207	128676145	+
Olfr775	10	128687592	128688530	+
Olfr776	10	128698019	128698957	+
Olfr777	10	128705442	128706377	-
Olfr779	10	128748565	128748954	+
Olfr780	10	128758625	128759649	+
Olfr781	10	128769939	128770874	+
Olfr782	10	128787621	128788565	+
Olfr784	10	128824691	128825650	+
Olfr786	10	128873870	128874808	+
Olfr787	10	128899734	128900672	+
Olfr788	10	128909750	128910685	+
Olfr790	10	128937869	128938938	+
Olfr791	10	128963285	128964223	+
Olfr792	10	128977595	128978530	+
Olfr794	10	129007713	129008675	+
Olfr796	10	129044603	129045535	-
Olfr798	10	129062180	129063115	-
Olfr799	10	129084186	129085121	+
Olfr800	10	129096860	129097799	+
Olfr801	10	129106617	129107573	-
Olfr802	10	129118855	129119793	-
Olfr803	10	129128169	129129095	-
Olfr804	10	129141936	129142880	+
Olfr805	10	129159639	129160598	-
Olfr806	10	129174817	129175971	-
Olfr807	10	129191545	129192541	-
Olfr808	10	129204554	129205492	+
Olfr809	10	129212883	129213982	+
Olfr810	10	129227665	129228670	-
Olfr811	10	129238620	129239579	-
Olfr812	10	129279076	129280118	-
Olfr813	10	129293576	129294508	+
Olfr814	10	129310879	129311811	-
Olfr815	10	129338832	129339782	-
Olfr816	10	129348394	129349332	-
Olfr818	10	129382160	129383116	-
Olfr819	10	129402792	129403754	-
Olfr247	10	129411661	129412623	-
Gm10310	10	129420536	129421498	-
Olfr820	10	129454357	129455417	+
Olfr821	10	129470684	129471616	+
Olfr822	10	129511465	129512406	+
Olfr823	10	129548897	129549844	-
Olfr824	10	129563164	129564111	-
Olfr825	10	129599233	129600380	-
Olfr826	10	129616993	129617934	-
Olfr827	10	129647148	129648205	-
Neurod4	10	129705209	129717296	-
5830405N20Rik	10	129759908	129801091	+
Vmn2r84	10	129822372	129831297	-
Vmn2r85	10	129854828	129866668	-
Vmn2r86	10	129882763	129892950	-
Vmn2r87	10	129908388	129934435	-
Pisd-ps1	11	3025907	3031007	+
