gene	sample	expression
C1orf187	Normal_22	-1.372256873
COL1A1	Normal_22	-1.894827791
HBE1	Normal_22	1.133583154
TP63	Normal_22	0.304854582
SFTPC	Normal_22	1.51907762
BBC3	Normal_22	-0.353636955
ALDH3B2	Normal_22	-1.436863862
SPRR3	Normal_22	0.052088511
S1PR1	Normal_22	1.769170785
KRT17	Normal_22	0.00996111
ADRB1	Normal_22	2.095221181
KRT14	Normal_22	-0.540431341
SPRR2G	Normal_22	0.182060327
LYPD3	Normal_22	-0.293731203
AKR1C2	Normal_22	-2.030211213
IGSF10	Normal_22	2.741265732
PVRL1	Normal_22	-0.372585358
SPRR1B	Normal_22	0.8633047005
WDR72	Normal_22	-0.20514805
FABP4	Normal_22	2.598809071
LOC100132639	Normal_22	-0.234829525
SERPINB3	Normal_22	-0.584962501
FGF11	Normal_22	-1.42202393
KRT13	Normal_22	-0.8107144025
LOC729070	Normal_22	1.311759424
TTK	Normal_22	-2.85448094
GJB2	Normal_22	0.120294234
CLCA2	Normal_22	0.032150524
PI4KAP1	Normal_22	1.881205003
PFN2	Normal_22	-2.273436485
SFTPH	Normal_22	2.260600846
EPAS1	Normal_22	1.766447356
AGER	Normal_22	1.932120144
LOC346085	Normal_22	-1.806755196
SFN	Normal_22	0.755314904
DSG3	Normal_22	-0.078470188
AQP4	Normal_22	2.8479525195
KRT15	Normal_22	-0.404607594
MMP12	Normal_22	0.500012628
CTHRC1	Normal_22	-2.119091487
ADH1B	Normal_22	2.169470251
PI3	Normal_22	-0.68589141
CDH5	Normal_22	1.632587667
SPRR1A	Normal_22	0.171711621
AKR1B10	Normal_22	-2.268898111
PTPRZ1	Normal_22	-0.078002512
TENC1	Normal_22	1.3408283
MMP10	Normal_22	-0.716207034
ADH1C	Normal_22	1.85516395
COL3A1	Normal_22	-1.040323895
SCGB1A1	Normal_22	-0.931965908
FHL1	Normal_22	1.637748835
SPP1	Normal_22	-1.951792612
LAD1	Normal_22	1.128128819
CLDN18	Normal_22	1.987156276
CDCA5	Normal_22	-2.467019177
KRT16	Normal_22	0.302823711
KRT5	Normal_22	0.535057109
PERP	Normal_22	-0.491402632
NTS	Normal_22	-3.12949224
HPGD	Normal_22	1.709668204
MFAP4	Normal_22	1.967358448
SLC2A1	Normal_23	-1.95941340366667
NBPF14	Normal_23	-0.506061673
SPRR2C	Normal_23	-0.084316286
TSHZ2	Normal_23	0.350779787
ALDH3A1	Normal_23	-2.321069636
PEBP4	Normal_23	1.231617753
AKR1C3	Normal_23	-2.691532785
FMO2	Normal_23	1.947388159
PVRL4	Normal_23	1.065588342
FAM75A1	Normal_23	0.912601325
C1orf187	Normal_23	-1.240181735
COL1A1	Normal_23	-1.347595865
HBE1	Normal_23	-1.352301744
TP63	Normal_23	-0.452512205
SFTPC	Normal_23	1.88582898
BBC3	Normal_23	-0.2255597
ALDH3B2	Normal_23	-0.472161898
SPRR3	Normal_23	-0.416895445
S1PR1	Normal_23	0.5608320305
KRT17	Normal_23	0.050465067
ADRB1	Normal_23	0.331315673
KRT14	Normal_23	-0.704631667
SPRR2G	Normal_23	-0.207941265
LYPD3	Normal_23	-0.642237306
AKR1C2	Normal_23	-2.03279418266667
IGSF10	Normal_23	1.979382707
PVRL1	Normal_23	-0.565659362
SPRR1B	Normal_23	-0.085579989
WDR72	Normal_23	-0.433540086
FABP4	Normal_23	1.711364313
LOC100132639	Normal_23	-0.263034406
SERPINB3	Normal_23	-0.536753408
FGF11	Normal_23	-1.552419127
KRT13	Normal_23	-0.747225948
LOC729070	Normal_23	1.515997034
TTK	Normal_23	-2.76881446
GJB2	Normal_23	-0.410737362
CLCA2	Normal_23	0.23926624
PI4KAP1	Normal_23	2.005546167
PFN2	Normal_23	-1.962729836
SFTPH	Normal_23	2.799536464
EPAS1	Normal_23	0.557675502
AGER	Normal_23	2.172203421
LOC346085	Normal_23	-2.207885681
SFN	Normal_23	-0.888810141
DSG3	Normal_23	-0.0594661005
AQP4	Normal_23	2.972778771
KRT15	Normal_23	-0.510761559
MMP12	Normal_23	0.157541277
CTHRC1	Normal_23	-1.989054493
ADH1B	Normal_23	1.608178784
PI3	Normal_23	-0.300509111
CDH5	Normal_23	1.25758185
SPRR1A	Normal_23	0.094859186
AKR1B10	Normal_23	-2.624531779
PTPRZ1	Normal_23	-0.242823267
TENC1	Normal_23	0.965040162
MMP10	Normal_23	-0.080170349
ADH1C	Normal_23	0.874736755
COL3A1	Normal_23	-1.024453044
SCGB1A1	Normal_23	2.181466623
FHL1	Normal_23	1.296490142
SPP1	Normal_23	-3.286036231
LAD1	Normal_23	0.640549262
CLDN18	Normal_23	2.544698631
CDCA5	Normal_23	-2.562478487
KRT16	Normal_23	-0.140271727
KRT5	Normal_23	0.392982897
PERP	Normal_23	-0.070643346
NTS	Normal_23	-2.660696624
HPGD	Normal_23	1.676705069
MFAP4	Normal_23	0.09529245
SLC2A1	Normal_24	-1.824156623
NBPF14	Normal_24	-0.700439718
SPRR2C	Normal_24	-0.198127143
TSHZ2	Normal_24	1.010749241
ALDH3A1	Normal_24	-1.912872024
PEBP4	Normal_24	0.381937535
AKR1C3	Normal_24	-2.810366882
FMO2	Normal_24	1.968640917
PVRL4	Normal_24	0.397759508
FAM75A1	Normal_24	1.67697471
C1orf187	Normal_24	-1.067355268
COL1A1	Normal_24	-1.221017771
HBE1	Normal_24	1.585651796
TP63	Normal_24	0.921144579
SFTPC	Normal_24	1.86287844
BBC3	Normal_24	-0.101879614
ALDH3B2	Normal_24	-0.38148494
SPRR3	Normal_24	-0.848962243
S1PR1	Normal_24	0.563926052
KRT17	Normal_24	0.189411543
ADRB1	Normal_24	0.072256089
KRT14	Normal_24	-0.287774037
SPRR2G	Normal_24	-0.114711659
LYPD3	Normal_24	-0.541776568
AKR1C2	Normal_24	-2.15251266466667
IGSF10	Normal_24	2.507620412
PVRL1	Normal_24	-0.210896782
SPRR1B	Normal_24	0.2480715105
WDR72	Normal_24	-0.268105395
FABP4	Normal_24	2.086544387
LOC100132639	Normal_24	-0.22121423
SERPINB3	Normal_24	-0.48112669
FGF11	Normal_24	-1.290137028
KRT13	Normal_24	-0.7645548675
LOC729070	Normal_24	1.232660757
TTK	Normal_24	-2.808559678
GJB2	Normal_24	-0.158472589
CLCA2	Normal_24	0.204406676
PI4KAP1	Normal_24	1.621570971
PFN2	Normal_24	-2.02639769
SFTPH	Normal_24	2.302030392
EPAS1	Normal_24	0.768478272
AGER	Normal_24	1.228828725
LOC346085	Normal_24	-2.00874326
SFN	Normal_24	-0.645043105
DSG3	Normal_24	0.00190580700000001
AQP4	Normal_24	2.533468189
KRT15	Normal_24	-0.15693936
MMP12	Normal_24	0.436386819
CTHRC1	Normal_24	-1.440883327
ADH1B	Normal_24	2.546741256
PI3	Normal_24	-0.765965466
CDH5	Normal_24	0.836024265
SPRR1A	Normal_24	0.03970971
AKR1B10	Normal_24	-2.793263072
PTPRZ1	Normal_24	-0.310340121
TENC1	Normal_24	2.00643774
MMP10	Normal_24	-0.181606806
ADH1C	Normal_24	2.075843758
COL3A1	Normal_24	-0.934181444
SCGB1A1	Normal_24	1.055654555
FHL1	Normal_24	1.855817397
SPP1	Normal_24	-3.192379852
LAD1	Normal_24	0.496200352
CLDN18	Normal_24	1.957971808
CDCA5	Normal_24	-2.483195663
KRT16	Normal_24	0.269496656
KRT5	Normal_24	1.310908352
PERP	Normal_24	-0.314895524
NTS	Normal_24	-2.682699302
HPGD	Normal_24	1.023661476
MFAP4	Normal_24	1.147845468
SLC2A1	Normal_25	-1.74613192766667
NBPF14	Normal_25	-0.033251806
SPRR2C	Normal_25	0.023321074
TSHZ2	Normal_25	1.94867861
ALDH3A1	Normal_25	-2.5514446965
PEBP4	Normal_25	1.330290938
AKR1C3	Normal_25	-2.296554546
FMO2	Normal_25	2.671813877
PVRL4	Normal_25	-0.029594782
FAM75A1	Normal_25	1.87842958
C1orf187	Normal_25	-1.341576463
COL1A1	Normal_25	-1.539297844
HBE1	Normal_25	1.246923667
TP63	Normal_25	1.169925001
SFTPC	Normal_25	2.215188754
BBC3	Normal_25	0.270089163
ALDH3B2	Normal_25	-0.21528384
SPRR3	Normal_25	-0.422126924
S1PR1	Normal_25	2.1443865065
KRT17	Normal_25	-0.579042529
ADRB1	Normal_25	0.813554275
KRT14	Normal_25	-1.118710408
SPRR2G	Normal_25	-0.09097366
LYPD3	Normal_25	-0.459219722
AKR1C2	Normal_25	-1.27991635333333
IGSF10	Normal_25	3.982144038
PVRL1	Normal_25	-0.722923732
SPRR1B	Normal_25	0.2045022635
WDR72	Normal_25	-0.029679345
FABP4	Normal_25	1.591497937
LOC100132639	Normal_25	-0.03638415
SERPINB3	Normal_25	-0.234034534
FGF11	Normal_25	-1.704701745
KRT13	Normal_25	-0.873596756
LOC729070	Normal_25	1.3722425599999999
TTK	Normal_25	-2.243030931
GJB2	Normal_25	0.096483524
CLCA2	Normal_25	0.051838932
PI4KAP1	Normal_25	1.97308591
PFN2	Normal_25	-2.18016261
SFTPH	Normal_25	2.877485957
EPAS1	Normal_25	1.061852446
AGER	Normal_25	2.027491369
LOC346085	Normal_25	-2.224864483
SFN	Normal_25	-1.767890167
DSG3	Normal_25	-0.3285767885
AQP4	Normal_25	2.954927758
KRT15	Normal_25	-0.45616073
MMP12	Normal_25	0.225669582
CTHRC1	Normal_25	-1.702420082
ADH1B	Normal_25	3.200791657
PI3	Normal_25	-0.596701337
CDH5	Normal_25	1.833172259
SPRR1A	Normal_25	-0.309684499
AKR1B10	Normal_25	-1.877301434
PTPRZ1	Normal_25	-0.264095601
TENC1	Normal_25	1.4431611
MMP10	Normal_25	-0.472752997
ADH1C	Normal_25	2.76369596
COL3A1	Normal_25	-0.84982426
SCGB1A1	Normal_25	0.738570244
FHL1	Normal_25	2.039760008
SPP1	Normal_25	-2.474705982
LAD1	Normal_25	0.174774401
CLDN18	Normal_25	2.549880042
CDCA5	Normal_25	-2.027440528
KRT16	Normal_25	-0.543986345
KRT5	Normal_25	-0.415037499
PERP	Normal_25	0.153947784
NTS	Normal_25	-2.224199178
HPGD	Normal_25	2.014130329
MFAP4	Normal_25	2.2840599090000002
SLC2A1	Normal_26	-1.015779559
NBPF14	Normal_26	-0.078426647
SPRR2C	Normal_26	0.190486324
TSHZ2	Normal_26	1.048767875
ALDH3A1	Normal_26	-1.8662094445
PEBP4	Normal_26	0.855639844
AKR1C3	Normal_26	-0.671556944
FMO2	Normal_26	2.53826633
PVRL4	Normal_26	0.796655033
FAM75A1	Normal_26	1.719753722
C1orf187	Normal_26	-0.803857478
COL1A1	Normal_26	-0.977531344
HBE1	Normal_26	1.560470681
TP63	Normal_26	0.534657419
SFTPC	Normal_26	2.501054985
BBC3	Normal_26	0.197446064
ALDH3B2	Normal_26	0.639058245
SPRR3	Normal_26	-0.085930179
S1PR1	Normal_26	1.492690867
KRT17	Normal_26	0.062558313
ADRB1	Normal_26	0.579136785
KRT14	Normal_26	-1.043048535
SPRR2G	Normal_26	0.01282404
LYPD3	Normal_26	-0.184143955
AKR1C2	Normal_26	-1.01696846533333
IGSF10	Normal_26	2.853634014
PVRL1	Normal_26	0.091908542
SPRR1B	Normal_26	0.579922807
WDR72	Normal_26	0.105610188
FABP4	Normal_26	3.627187331
LOC100132639	Normal_26	0.074589316
SERPINB3	Normal_26	-0.07374834
FGF11	Normal_26	-1.05417514
KRT13	Normal_26	-0.5962352165
LOC729070	Normal_26	2.040192466
TTK	Normal_26	-1.824089554
GJB2	Normal_26	-0.290868614
CLCA2	Normal_26	0.490789106
PI4KAP1	Normal_26	2.985173012
PFN2	Normal_26	-1.389882494
SFTPH	Normal_26	2.733039306
EPAS1	Normal_26	1.272995291
AGER	Normal_26	1.841659481
LOC346085	Normal_26	-1.143695357
SFN	Normal_26	-0.954557029
DSG3	Normal_26	0.1370216705
AQP4	Normal_26	3.2974078335
KRT15	Normal_26	-0.072240124
MMP12	Normal_26	0.381870635
CTHRC1	Normal_26	-1.237909812
ADH1B	Normal_26	3.083240279
PI3	Normal_26	-0.545434137
CDH5	Normal_26	1.55987152
SPRR1A	Normal_26	0.471621028
AKR1B10	Normal_26	-2.002802711
PTPRZ1	Normal_26	0.07521115
TENC1	Normal_26	1.602269081
MMP10	Normal_26	-0.008933125
ADH1C	Normal_26	2.359144358
COL3A1	Normal_26	-0.456195666
SCGB1A1	Normal_26	2.107788242
FHL1	Normal_26	2.094846515
SPP1	Normal_26	-2.593986424
LAD1	Normal_26	1.221503789
CLDN18	Normal_26	2.165872922
CDCA5	Normal_26	-1.793313984
KRT16	Normal_26	-0.05521446
KRT5	Normal_26	0.740155382
PERP	Normal_26	0.025460866
NTS	Normal_26	-2.221408318
HPGD	Normal_26	2.325070289
MFAP4	Normal_26	1.91938154
SLC2A1	Normal_27	-2.15676688366667
NBPF14	Normal_27	-0.065313359
SPRR2C	Normal_27	-0.229669587
TSHZ2	Normal_27	1.462483068
ALDH3A1	Normal_27	-2.720667854
PEBP4	Normal_27	0.782059638
AKR1C3	Normal_27	-2.169155359
FMO2	Normal_27	2.569625495
PVRL4	Normal_27	0.26529038
FAM75A1	Normal_27	1.271288592
C1orf187	Normal_27	-0.499269943
COL1A1	Normal_27	-1.32725136
HBE1	Normal_27	1.141420803
TP63	Normal_27	0.590887335
SFTPC	Normal_27	1.80764953
BBC3	Normal_27	0.221053493
ALDH3B2	Normal_27	0.132488937
SPRR3	Normal_27	-0.459431619
S1PR1	Normal_27	1.91647537
KRT17	Normal_27	-1.050626073
ADRB1	Normal_27	1.167742406
KRT14	Normal_27	-1.345957222
SPRR2G	Normal_27	0.093109404
LYPD3	Normal_27	-0.886132035
AKR1C2	Normal_27	-1.908414636
IGSF10	Normal_27	3.244874189
PVRL1	Normal_27	-0.30564964
SPRR1B	Normal_27	-2.219467606
WDR72	Normal_27	-0.17559472
FABP4	Normal_27	2.113185075
LOC100132639	Normal_27	-0.316710386
SERPINB3	Normal_27	-0.552541023
FGF11	Normal_27	-1.635492717
KRT13	Normal_27	-0.9311486255
LOC729070	Normal_27	1.423476234
TTK	Normal_27	-1.854149134
GJB2	Normal_27	-0.064609081
CLCA2	Normal_27	0.544895562
PI4KAP1	Normal_27	1.857689554
PFN2	Normal_27	-2.189758015
SFTPH	Normal_27	3.000893033
EPAS1	Normal_27	0.576958624
AGER	Normal_27	1.060940142
LOC346085	Normal_27	-2.210142219
SFN	Normal_27	-1.6940735
DSG3	Normal_27	0.0986521825
AQP4	Normal_27	3.697873136
KRT15	Normal_27	-0.443807738
MMP12	Normal_27	0.210896782
CTHRC1	Normal_27	-1.087210996
ADH1B	Normal_27	3.360828267
PI3	Normal_27	-0.62963155
CDH5	Normal_27	1.242113754
SPRR1A	Normal_27	-0.757865675
AKR1B10	Normal_27	-2.708161566
PTPRZ1	Normal_27	-0.288731496
TENC1	Normal_27	0.250729896
MMP10	Normal_27	-0.387925654
ADH1C	Normal_27	3.246890772
COL3A1	Normal_27	0.301561246
SCGB1A1	Normal_27	0.72762773
FHL1	Normal_27	1.333285776
SPP1	Normal_27	-3.991730324
LAD1	Normal_27	-0.055317768
CLDN18	Normal_27	2.43831046
CDCA5	Normal_27	-2.46093835
KRT16	Normal_27	-0.908480447
KRT5	Normal_27	-0.620912378
PERP	Normal_27	-0.398570987
NTS	Normal_27	-1.789178262
HPGD	Normal_27	1.335724115
MFAP4	Normal_27	0.839906678
SLC2A1	Normal_28	-1.52487019566667
NBPF14	Normal_28	-0.23259973
SPRR2C	Normal_28	0.113365853
TSHZ2	Normal_28	1.56370488
ALDH3A1	Normal_28	-1.877097053
PEBP4	Normal_28	1.000235254
AKR1C3	Normal_28	-2.370127723
FMO2	Normal_28	2.639908615
PVRL4	Normal_28	0.616833016
FAM75A1	Normal_28	2.165360697
C1orf187	Normal_28	-1.206639947
COL1A1	Normal_28	-1.46816698
HBE1	Normal_28	0.232048792
TP63	Normal_28	0.30218416
SFTPC	Normal_28	1.979649304
BBC3	Normal_28	-0.034148222
ALDH3B2	Normal_28	-0.940293754
SPRR3	Normal_28	-0.456378295
S1PR1	Normal_28	2.1602550605
KRT17	Normal_28	-0.283108846
ADRB1	Normal_28	2.046534337
KRT14	Normal_28	-0.943921327
SPRR2G	Normal_28	-0.084888898
LYPD3	Normal_28	-0.475904053
AKR1C2	Normal_28	-1.80963451066667
IGSF10	Normal_28	2.383405606
PVRL1	Normal_28	-0.343526927
SPRR1B	Normal_28	0.8352239865
WDR72	Normal_28	-0.193141788
FABP4	Normal_28	1.700537148
LOC100132639	Normal_28	-0.113656782
SERPINB3	Normal_28	-0.138670595
FGF11	Normal_28	-1.478177088
KRT13	Normal_28	-0.747961197
LOC729070	Normal_28	1.789282741
TTK	Normal_28	-2.417491361
GJB2	Normal_28	-0.712446931
CLCA2	Normal_28	0.3099242
PI4KAP1	Normal_28	2.097681905
PFN2	Normal_28	-0.995750527
SFTPH	Normal_28	2.597111706
EPAS1	Normal_28	2.129834754
AGER	Normal_28	2.344994931
LOC346085	Normal_28	-2.342029733
SFN	Normal_28	-1.498201189
DSG3	Normal_28	0.0289149325
AQP4	Normal_28	2.754278979
KRT15	Normal_28	-0.479577751
MMP12	Normal_28	0.195550809
CTHRC1	Normal_28	-1.870786129
ADH1B	Normal_28	2.84899658
PI3	Normal_28	-0.536452964
CDH5	Normal_28	2.015649727
SPRR1A	Normal_28	0.475213014
AKR1B10	Normal_28	-2.571778736
PTPRZ1	Normal_28	-0.328191468
TENC1	Normal_28	1.606068134
MMP10	Normal_28	0.075767508
ADH1C	Normal_28	1.929682998
COL3A1	Normal_28	-1.105767627
SCGB1A1	Normal_28	2.600370405
FHL1	Normal_28	1.795422509
SPP1	Normal_28	-3.377291358
LAD1	Normal_28	0.420871292
CLDN18	Normal_28	2.570253345
CDCA5	Normal_28	-2.660301634
KRT16	Normal_28	-0.364611557
KRT5	Normal_28	0.247632795
PERP	Normal_28	0.18847465
NTS	Normal_28	-2.40852765
HPGD	Normal_28	2.445607333
MFAP4	Normal_28	0.970317084
SLC2A1	Normal_29	-1.92333473266667
NBPF14	Normal_29	0.502500341
SPRR2C	Normal_29	0.107383535
TSHZ2	Normal_29	0.457286347
ALDH3A1	Normal_29	-2.8012671855
PEBP4	Normal_29	-0.057238385
AKR1C3	Normal_29	-2.704321314
FMO2	Normal_29	1.129091284
PVRL4	Normal_29	0.002935291
FAM75A1	Normal_29	0.911500852
C1orf187	Normal_29	-1.140973628
COL1A1	Normal_29	-1.932392937
HBE1	Normal_29	1.869037592
TP63	Normal_29	0.831400396
SFTPC	Normal_29	1.826112242
BBC3	Normal_29	-0.32343798
ALDH3B2	Normal_29	0
SPRR3	Normal_29	-0.124031043
S1PR1	Normal_29	0.8215482985
KRT17	Normal_29	-0.971275711
ADRB1	Normal_29	1.475310498
KRT14	Normal_29	-1.997821877
SPRR2G	Normal_29	-0.10496956
LYPD3	Normal_29	-0.737613851
AKR1C2	Normal_29	-2.059178348
IGSF10	Normal_29	1.946256
PVRL1	Normal_29	-0.777266959
SPRR1B	Normal_29	-0.00702290999999999
WDR72	Normal_29	0.107313024
FABP4	Normal_29	1.648156327
LOC100132639	Normal_29	-0.299919474
SERPINB3	Normal_29	-0.486877501
FGF11	Normal_29	-1.686746239
KRT13	Normal_29	-1.0846699925
LOC729070	Normal_29	1.055258905
TTK	Normal_29	-1.518923739
GJB2	Normal_29	0.088809267
CLCA2	Normal_29	0.723626214
PI4KAP1	Normal_29	1.395384009
PFN2	Normal_29	-1.981534806
SFTPH	Normal_29	2.601538057
EPAS1	Normal_29	1.017459396
AGER	Normal_29	0.773833548
LOC346085	Normal_29	-2.91579551
SFN	Normal_29	-2.674034338
DSG3	Normal_29	0.092901327
AQP4	Normal_29	2.7001197145
KRT15	Normal_29	-0.575668386
MMP12	Normal_29	0.36415633
CTHRC1	Normal_29	-2.20483405
ADH1B	Normal_29	2.467468938
PI3	Normal_29	0.736965594
CDH5	Normal_29	0.728566711
SPRR1A	Normal_29	-0.139162748
AKR1B10	Normal_29	-2.765320155
PTPRZ1	Normal_29	-0.639017918
TENC1	Normal_29	-0.129409842
MMP10	Normal_29	-1.692676318
ADH1C	Normal_29	1.771338638
COL3A1	Normal_29	-0.896095393
SCGB1A1	Normal_29	-0.388904469
FHL1	Normal_29	1.496848006
SPP1	Normal_29	-1.930131578
LAD1	Normal_29	-0.880090536
CLDN18	Normal_29	2.022118406
CDCA5	Normal_29	-1.973002367
KRT16	Normal_29	-1.237716312
KRT5	Normal_29	0.076762744
PERP	Normal_29	-0.410244638
NTS	Normal_29	-2.598509033
HPGD	Normal_29	1.748363921
MFAP4	Normal_29	-0.708374665
SLC2A1	Normal_30	-1.58896653366667
NBPF14	Normal_30	-0.441269041
SPRR2C	Normal_30	-0.300081393
TSHZ2	Normal_30	1.303625186
ALDH3A1	Normal_30	-1.907652631
PEBP4	Normal_30	0.389810353
AKR1C3	Normal_30	-2.621264485
FMO2	Normal_30	3.045779861
PVRL4	Normal_30	-0.138102277
FAM75A1	Normal_30	1.067872113
C1orf187	Normal_30	-1.448685237
COL1A1	Normal_30	-1.598148361
HBE1	Normal_30	-1.440083418
TP63	Normal_30	-0.295455884
SFTPC	Normal_30	2.111040055
BBC3	Normal_30	0.528378972
ALDH3B2	Normal_30	-0.433960363
SPRR3	Normal_30	-0.643119306
S1PR1	Normal_30	0.482403555
KRT17	Normal_30	-0.071648041
ADRB1	Normal_30	0.962450262
KRT14	Normal_30	-1.11966612
SPRR2G	Normal_30	-0.76650987
LYPD3	Normal_30	-0.69228058
AKR1C2	Normal_30	-2.24956191133333
IGSF10	Normal_30	2.882930697
PVRL1	Normal_30	-0.502227439
SPRR1B	Normal_30	0.485700923
WDR72	Normal_30	-0.500173413
FABP4	Normal_30	1.257616218
LOC100132639	Normal_30	-0.601450624
SERPINB3	Normal_30	-0.517399217
FGF11	Normal_30	-1.520136481
KRT13	Normal_30	-1.0416122965
LOC729070	Normal_30	1.457668394
TTK	Normal_30	-2.349652578
GJB2	Normal_30	-0.682688533
CLCA2	Normal_30	0.009297745
PI4KAP1	Normal_30	1.678618829
PFN2	Normal_30	-2.204526001
SFTPH	Normal_30	2.396410284
EPAS1	Normal_30	0.480365541
AGER	Normal_30	2.22145894
LOC346085	Normal_30	-2.140990101
SFN	Normal_30	-0.342232191
DSG3	Normal_30	-0.18135443
AQP4	Normal_30	2.3586434155
KRT15	Normal_30	-0.314552756
MMP12	Normal_30	0.314510623
CTHRC1	Normal_30	-2.093932967
ADH1B	Normal_30	2.370795296
PI3	Normal_30	-0.903973112
CDH5	Normal_30	0.702264503
SPRR1A	Normal_30	0.322905862
AKR1B10	Normal_30	-2.267616975
PTPRZ1	Normal_30	-0.511550414
TENC1	Normal_30	1.750931773
MMP10	Normal_30	-0.211504105
ADH1C	Normal_30	1.771992979
COL3A1	Normal_30	-0.987927168
SCGB1A1	Normal_30	-0.444942282
FHL1	Normal_30	1.554016501
SPP1	Normal_30	-2.552411929
LAD1	Normal_30	0.79950706
CLDN18	Normal_30	2.317442697
CDCA5	Normal_30	-1.966731154
KRT16	Normal_30	0.257065448
KRT5	Normal_30	0.649458896
PERP	Normal_30	-0.505684932
NTS	Normal_30	-2.453172628
HPGD	Normal_30	1.351176224
MFAP4	Normal_30	1.70764502
SLC2A1	Tumor_1	0.490805808333333
NBPF14	Tumor_1	0.105727507
SPRR2C	Tumor_1	0.242074787
TSHZ2	Tumor_1	0.16236765
ALDH3A1	Tumor_1	0.759947931
PEBP4	Tumor_1	-0.274916029
AKR1C3	Tumor_1	0.076524492
FMO2	Tumor_1	1.728905824
PVRL4	Tumor_1	0.871992388
FAM75A1	Tumor_1	0.253012973
C1orf187	Tumor_1	0.083657929
COL1A1	Tumor_1	0.833918527
HBE1	Tumor_1	-0.052196211
TP63	Tumor_1	-0.225304604
SFTPC	Tumor_1	0.078002512
BBC3	Tumor_1	-0.73289593
ALDH3B2	Tumor_1	1.141148625
SPRR3	Tumor_1	0.191341241
S1PR1	Tumor_1	0.263921889
KRT17	Tumor_1	0.381346305
ADRB1	Tumor_1	0.185303103
KRT14	Tumor_1	0.040466592
SPRR2G	Tumor_1	0.332575339
LYPD3	Tumor_1	0.370050045
AKR1C2	Tumor_1	0.0772324233333333
IGSF10	Tumor_1	0.405368851
PVRL1	Tumor_1	0.329183911
SPRR1B	Tumor_1	0.1643416565
WDR72	Tumor_1	0.542570734
FABP4	Tumor_1	-0.506299149
LOC100132639	Tumor_1	0.969575105
SERPINB3	Tumor_1	1.014044735
FGF11	Tumor_1	0.177314841
KRT13	Tumor_1	0.2371943515
LOC729070	Tumor_1	-0.363802625
TTK	Tumor_1	2.436099115
GJB2	Tumor_1	0.651381366
CLCA2	Tumor_1	-0.2410081
PI4KAP1	Tumor_1	-0.616085018
PFN2	Tumor_1	0.585210749
SFTPH	Tumor_1	0.177089332
EPAS1	Tumor_1	-0.989233569
AGER	Tumor_1	-0.163574169
LOC346085	Tumor_1	-0.326533261
SFN	Tumor_1	-0.068759543
DSG3	Tumor_1	-0.520665664
AQP4	Tumor_1	-0.0410711165
KRT15	Tumor_1	0.067002855
MMP12	Tumor_1	0.668553251
CTHRC1	Tumor_1	-0.08742206
ADH1B	Tumor_1	0.229926094
PI3	Tumor_1	-0.104301231
CDH5	Tumor_1	1.240120748
SPRR1A	Tumor_1	0.625162299
AKR1B10	Tumor_1	2.911224729
PTPRZ1	Tumor_1	0.574515713
TENC1	Tumor_1	-0.282115147
MMP10	Tumor_1	-0.118925696
ADH1C	Tumor_1	0.186413124
COL3A1	Tumor_1	0.748907266
SCGB1A1	Tumor_1	0.499973558
FHL1	Tumor_1	-1.397335498
SPP1	Tumor_1	-0.050983929
LAD1	Tumor_1	-0.915786996
CLDN18	Tumor_1	-0.231443235
CDCA5	Tumor_1	0.444013884
KRT16	Tumor_1	2.148863386
KRT5	Tumor_1	0.862496476
PERP	Tumor_1	0.173826619
NTS	Tumor_1	-0.134962822
HPGD	Tumor_1	0.298966946
MFAP4	Tumor_1	1.586575352
SLC2A1	Tumor_2	3.78073800166667
NBPF14	Tumor_2	1.093109404
SPRR2C	Tumor_2	3.296787847
TSHZ2	Tumor_2	-1.506032031
ALDH3A1	Tumor_2	1.1143154015
PEBP4	Tumor_2	-1.594649698
AKR1C3	Tumor_2	2.225669848
FMO2	Tumor_2	-0.883082248
PVRL4	Tumor_2	3.643623791
FAM75A1	Tumor_2	-0.845506553
C1orf187	Tumor_2	1.006085496
COL1A1	Tumor_2	1.236113455
HBE1	Tumor_2	-1.726558779
TP63	Tumor_2	4.689124405
SFTPC	Tumor_2	-1.801179286
BBC3	Tumor_2	1.587983853
ALDH3B2	Tumor_2	2.137184379
SPRR3	Tumor_2	3.579052603
S1PR1	Tumor_2	-0.537312525
KRT17	Tumor_2	2.504158747
ADRB1	Tumor_2	-0.612976877
KRT14	Tumor_2	4.165330689
SPRR2G	Tumor_2	2.800636889
LYPD3	Tumor_2	1.599350518
AKR1C2	Tumor_2	1.665005375
IGSF10	Tumor_2	0.441327178
PVRL1	Tumor_2	2.37453467
SPRR1B	Tumor_2	2.435925998
WDR72	Tumor_2	2.215148222
FABP4	Tumor_2	-1.728300733
LOC100132639	Tumor_2	1.839293529
SERPINB3	Tumor_2	3.976974559
FGF11	Tumor_2	2.088315974
KRT13	Tumor_2	2.8676199205
LOC729070	Tumor_2	-1.501910884
TTK	Tumor_2	0.140758336
GJB2	Tumor_2	4.419901296
CLCA2	Tumor_2	2.332611177
PI4KAP1	Tumor_2	-1.026648025
PFN2	Tumor_2	0.725598016
SFTPH	Tumor_2	-1.020988078
EPAS1	Tumor_2	-1.563931335
AGER	Tumor_2	-1.717115818
LOC346085	Tumor_2	1.636324511
SFN	Tumor_2	2.504412001
